River,Location within the river,Predation level,Group or single,Group size,Number of approaches to the True stimulus,Number of approaches to the False stimulus,First approach (to True or False stimulus)
Aripo,lower,high,group,11,0,1,f
Aripo,lower,high,group,15,0,0,NA
Aripo,lower,high,group,19.5,0,0,NA
Aripo,lower,high,group,30,1,0,t
Aripo,lower,high,group,18,2,0,t
Aripo,lower,high,group,8,0,0,NA
Aripo,lower,high,group,10,0,0,NA
Aripo,lower,high,group,70,1,0,t
Aripo,lower,high,group,15,0,0,NA
Aripo,lower,high,group,20,1,0,t
Aripo,lower,high,group,20,0,0,NA
Aripo,lower,high,group,22,2,1,t
Aripo,lower,high,group,18,0,1,f
Aripo,lower,high,group,27,2,0,t
Aripo,lower,high,singleton,1,0,0,NA
Aripo,lower,high,group,3,0,0,NA
Aripo,lower,high,group,24,2,1,t
Aripo,lower,high,group,32,6,1,t
Aripo,lower,high,group,2,1,1,t
Aripo,lower,high,group,3,3,3,f
Aripo,lower,high,group,20,3,0,t
Aripo,lower,high,group,10,0,0,NA
Aripo,lower,high,group,7,1,0,t
Aripo,lower,high,group,2,0,0,NA
Aripo,lower,high,group,6,1,1,f
Aripo,lower,high,singleton,1,0,1,f
Aripo,lower,high,group,2,0,1,f
Aripo,lower,high,group,15,4,1,t
Aripo,lower,high,group,23,0,1,f
Aripo,lower,high,group,10,0,0,NA
Aripo,lower,high,group,2,0,1,f
Aripo,lower,high,group,18,2,0,t
Aripo,lower,high,group,16,1,0,t
Aripo,lower,high,group,11,1,0,t
Aripo,lower,high,group,2,0,0,NA
Aripo,lower,high,group,21,1,0,t
Aripo,lower,high,singleton,1,0,1,f
Aripo,lower,high,group,4,1,0,t
Aripo,lower,high,group,22,1,0,t
Aripo,lower,high,group,11,0,0,NA
Aripo,upper,low,group,12,0,0,NA
Aripo,upper,low,group,20,3,1,f
Aripo,upper,low,singleton,1,0,2,f
Aripo,upper,low,group,8,1,0,t
Aripo,upper,low,group,12,2,2,t
Aripo,upper,low,group,11,1,0,t
Aripo,upper,low,group,2,0,1,f
